index	seat	title	first_instrumental	lyricist	notable_vocals	note
1B	44	Sophisticated Lady	1932-33, Ellington, an alto feature	Mitchell Parish, with Irving Mills credit	Ella Fitzgerald; widely sung in the songbook repertoire	played as an instrumental as often as sung
1B	47	Take Five	1959, Paul Desmond, Time Out	Iola Brubeck	Carmen McRae (Take Five Live, 1961, with the Brubeck Quartet); Al Jarreau	
1B	52	Yardbird Suite	1946, Charlie Parker	Parker's own, as What Price Love?; later vocalese	Earl Coleman (1948, using What Price Love?)	Parker's words are not the commonly heard ones
1B	53	Stolen Moments	1961, Oliver Nelson, The Blues and the Abstract Truth	Mark Murphy	Mark Murphy	a minor blues
2	1	A Child Is Born	1969, Thad Jones, the Jones-Lewis Orchestra, on a Roland Hanna idea	Alec Wilder	Tony Bennett with Bill Evans; Dee Dee Bridgewater; Helen Merrill	Wilder wrote the lyric after hearing the band play it
2	5	Along Came Betty	1958, Benny Golson, on the Jazz Messengers' Moanin'	Jon Hendricks	Jon Hendricks; later singers use his words	
2	16	Dat Dere	1960, Bobby Timmons	Oscar Brown Jr., the same year	Oscar Brown Jr. (Sin & Soul); Sheila Jordan; Rickie Lee Jones	
2	29	Hi-Fly	late 1950s, Randy Weston	Jon Hendricks	Lambert, Hendricks & Ross; Mel Torme; Abbey Lincoln; Sarah Vaughan	
2	32	I Remember Clifford	1956-57, Benny Golson, an elegy for Clifford Brown	Jon Hendricks	Dinah Washington (the first prominent vocal); Carmen McRae; Nancy Wilson	
2	34	In Walked Bud	Thelonious Monk	Jon Hendricks	Jon Hendricks with Monk (Underground); Carmen McRae (Carmen Sings Monk)	
2	56	Peace	1959, Horace Silver, Blowin' the Blues Away	Horace Silver, later	Horace Silver's own vocal version; Norah Jones	
2	65	Soul Eyes	1957, Mal Waldron, written with Coltrane in mind	Mal Waldron, later	Kandace Springs and other modern singers	Coltrane's 1962 recording remains the instrumental reference
2	66	Spain	1972, Chick Corea, Light as a Feather, on Rodrigo	Al Jarreau	Al Jarreau (1980), as Spain (I Can Recall)	
2	80	Up Jumped Spring	mid-1960s, Freddie Hubbard	Abbey Lincoln	Abbey Lincoln (You Gotta Pay the Band)	a waltz
2	82	Waltz for Debby	1956, Bill Evans, for his niece	Gene Lees	Tony Bennett with Bill Evans; many jazz singers	
2	84	Whisper Not	mid-1950s, Benny Golson	Leonard Feather	Ella Fitzgerald and others	
3	2	500 Miles High	1972, Chick Corea, first on Stan Getz's Captain Marvel	Neville Potter	Flora Purim (Return to Forever, Light as a Feather)	the lyric followed within months
3	36	Goodbye Pork Pie Hat	1959, Charles Mingus, Mingus Ah Um, for Lester Young	Joni Mitchell, 1979	Joni Mitchell (Mingus)	
3	73	Tell Me A Bedtime Story	1969, Herbie Hancock, Fat Albert Rotunda	added later	Kimiko Kasai with Hancock (Butterfly, 1979)	
3	108	Parker's Mood	1948, Charlie Parker	King Pleasure, 1953, vocalese	King Pleasure	
3	115	Twisted	1949, Wardell Gray	Annie Ross, 1952, vocalese	Annie Ross; Lambert, Hendricks & Ross; Joni Mitchell (Court and Spark); Bette Midler	one of the best known vocalese charts
