match_key	k_programs	programs	printed_forms	seat	seated_as
autumninnewyork	2	Alabama; William Paterson	Autumn in New York	5A #3	Autumn in New York
autumnleaves	12	Alabama; Cal State Long Beach; Colorado Boulder; Iowa; Marshall; Oregon; Sonoma State; Texas State; Utah; Utah Valley; Western Michigan; William Paterson	AUTUMN LEAVES | Autumn Leaves | Autumn Leaves (em and gm)	1A #5	Autumn Leaves
bagsgroove	3	Marshall; Oregon; Utah	BAG'S GROOVE | Bag's Groove	1A #71	Bags' Groove
beanandtheboys	1	Central Florida	Bean and the Boys	3 #8	Bean and the Boys
beatrice	3	Iowa; Utah; Utah Valley	BEATRICE | Beatrice	1B #5	Beatrice
beautifullove	7	Alabama; Cal State Long Beach; Marshall; Oregon; Utah; Utah Valley; William Paterson	BEAUTIFUL LOVE | Beautiful Love | Beautiful love	1B #6	Beautiful Love
bebop	2	Central Florida; Marshall	Be Bop | Bebop	2 #6	Be-Bop
bemshaswing	1	Utah	BEMSHA SWING	2 #7	Bemsha Swing
berniestune	1	Utah	BERNIE'S TUNE	2 #8	Bernie's Tune
bessiesblues	3	Oregon; San Diego State; William Paterson	Bessie's Blues | Bessie’s Blues	2 #93	Bessie's Blues
bewitched	1	Alabama	Bewitched	5B #9	Bewitched
beyondalllimits	1	Cal State Long Beach	Beyond All Limits		
billiesbounce	9	Cal State Long Beach; Marshall; Oregon; Sonoma State; Texas State; Utah; Utah Valley; Western Michigan; William Paterson	BILLIE'S BOUNCE | Billie's Bounce | Billie’s Bounce	1A #72	Billie’s Bounce
birksworks	3	Iowa; Oregon; Utah	BIRK'S WORKS | Birk's Works	2 #108	Birk's Works
blacknarcissus	2	Utah; William Paterson	BLACK NARCISSUS | Black Narcissus	3 #9	Black Narcissus
blackorpheus	8	Alabama; Colorado Boulder; Marshall; Oregon; Texas State; Utah; Utah Valley; William Paterson	A Day In The Life Of A Fool | BLACK ORPHEUS | Black Orpheus	1A #31	Manha De Carnaval
bloodcount	1	Cal State Long Beach	Blood Count	3 #11	Blood Count
bluebossa	11	Alabama; Cal State Long Beach; Colorado Boulder; Iowa; Marshall; Oregon; Sonoma State; Texas State; Utah; Utah Valley; William Paterson	BLUE BOSSA | Blue Bossa	1A #6	Blue Bossa
bluedaniel	1	Iowa	Blue Daniel		
bluefriday	1	Oregon	Blue Friday		
blueingreen	2	Cal State Long Beach; William Paterson	Blue In Green | Blue ‘N’ Green	2 #9	Blue in Green
bluemonk	7	Iowa; Marshall; Oregon; Sonoma State; Utah; Utah Valley; William Paterson	BLUE MONK | Blue Monk	1A #73	Blue Monk
bluemoon	1	Utah Valley	Blue Moon	5A #4	Blue Moon
bluesette	7	Cal State Long Beach; Colorado Boulder; Iowa; Marshall; Oregon; Utah; William Paterson	BLUESETTE | Bluesette	1B #7	Bluesette
bluesforalice	8	Cal State Long Beach; Colorado Boulder; Marshall; Oregon; San Diego State; Utah; Western Michigan; William Paterson	BLUES FOR ALICE | Blues For Alice | Blues for Alice	1A #75	Blues For Alice
bluesforwood	1	William Paterson	Blues for Wood	3 #118	Blues For Wood
bluesinthecloset	1	Utah	BLUES IN THE CLOSET	3 #94	Blues in the Closet
blueskies	2	Marshall; Utah	Blue Skies	5A #5	Blue Skies
bluesmarch	1	William Paterson	Blues March	2 #10	Blues March
blueswalk	1	Colorado Boulder	Blues Walk	1A #82	The Blues Walk
bluetrain	3	Marshall; Oregon; William Paterson	Blue Train | Blue Trane	1A #74	Blue Train
bodyandsoul	11	Alabama; Cal State Long Beach; Colorado Boulder; Marshall; Oregon; Sonoma State; Texas State; Utah; Utah Valley; Western Michigan; William Paterson	BODY & SOUL | Body And Soul | Body and Soul	1A #7	Body and Soul
bolivia	3	Cal State Long Beach; Utah; William Paterson	BOLIVIA | Bolivia	2 #12	Bolivia
brightsizelife	1	Utah	BRIGHT SIZE LIFE		
budo	1	Central Florida	Budo	3 #38	Hallucinations
butbeautiful	3	Alabama; Cal State Long Beach; William Paterson	But Beautiful	1B #8	But Beautiful
butnotforme	6	Alabama; Cal State Long Beach; Marshall; Oregon; Utah; William Paterson	BUT NOT FOR ME | But Not For Me | But Not for Me	1B #9	But Not for Me
byebyeblackbird	7	Alabama; Iowa; Oregon; Utah; Utah Valley; Western Michigan; William Paterson	BYE BYE BLACKBIRD | Bye Bye Blackbird	1A #8	Bye Bye Blackbird
cantaloupeisland	7	Iowa; Marshall; Oregon; Sonoma State; Texas State; Utah; Western Michigan	CANTALOUPE ISLAND | Cantaloupe Island	1A #9	Cantaloupe Island
caravan	5	Alabama; Marshall; Oregon; Utah; Utah Valley	CARAVAN | Caravan	1A #10	Caravan
centralparkwest	1	William Paterson	Central Park West	3 #16	Central Park West
ceora	6	Cal State Long Beach; Central Florida; Iowa; Marshall; San Diego State; William Paterson	Ceora	1B #10	Ceora
chegadesaudade	2	Cal State Long Beach; Utah	CHEGA DE SAUDADE (NO MORE BLUES) | Chega De Saudade	2 #50	No More Blues
chelseabridge	2	Cal State Long Beach; William Paterson	Chelsea Bridge	4 #15	Chelsea Bridge
cherokee	11	Alabama; Cal State Long Beach; Iowa; Marshall; Oregon; San Diego State; Sonoma State; Texas State; Utah; Western Michigan; William Paterson	CHEROKEE | Cherokee	1A #11	Cherokee
cheryl	2	Utah; William Paterson	CHERYL | Cheryl	2 #98	Cheryl
chichi	1	Utah	CHI CHI	3 #97	Chi Chi
childisborn	3	Marshall; Utah; William Paterson	A CHILD IS BORN | A Child Is Born | Child Is Born	2 #1	A Child Is Born
cjamblues	2	Iowa; Utah	C Jam Blues | C-JAM BLUES	4 #14	C Jam Blues
clockwise	1	Cal State Long Beach	Clockwise		
comeflywithme	1	Alabama	Come Fly with Me		
comerainorcomeshine	4	Alabama; Cal State Long Beach; Utah; William Paterson	COME RAIN OR COME SHINE | Come Rain Or Come Shine | Come Rain or Come Shine	1B #11	Come Rain or Come Shine
comesunday	1	William Paterson	Come Sunday	5A #8	Come Sunday
conalma	2	Utah; William Paterson	CON ALMA | Con Alma	2 #13	Con Alma
confirmation	9	Cal State Long Beach; Central Florida; Colorado Boulder; Marshall; Sonoma State; Texas State; Utah; Western Michigan; William Paterson	CONFIRMATION | Confirmation	1A #12	Confirmation
cookinatthecontinental	2	Central Florida; Utah	COOKIN” at THE CONTINENTAL | Cookin at the Continental		
coolblues	2	Marshall; Utah	COOL BLUES | Cool Blues	2 #99	Cool Blues
coralkeys	1	William Paterson	Coral Keys		
corcovado	6	Alabama; Cal State Long Beach; Marshall; Oregon; Texas State; Utah	CORCOVADO | Corcovado	1A #13	Corcovado
cottontail	4	Cal State Long Beach; Oregon; Utah; William Paterson	COTTONTAIL | Cottontail	1A #89	Cottontail
countdown	4	Cal State Long Beach; Utah; Western Michigan; William Paterson	COUNTDOWN | Countdown	2 #14	Countdown
crescent	1	William Paterson	Crescent	3 #23	Crescent
crystalsilence	1	William Paterson	Crystal Silence		
cyclicepisode	1	Utah	CYCLIC EPISODE		
daahoud	3	Cal State Long Beach; Central Florida; William Paterson	Daahoud	2 #15	Daahoud
dancecadaverous	1	Utah	DANCE CADAVEROUS	3 #25	Dance Cadaverous
dancinginthedark	1	William Paterson	Dancing in the Dark	5C #13	Dancing in the Dark
darnthatdream	5	Alabama; Cal State Long Beach; Oregon; Utah; William Paterson	DARN THAT DREAM | Darn That Dream | Darn that Dream	5A #9	Darn That Dream
daybyday	1	Utah	DAY BY DAY	5C #14	Day By Day
daydream	1	William Paterson	Daydream	5B #13	Day Dream
dayindayout	1	Alabama	Day In, Day Out	5C #15	Day In, Day Out
daysofwineandroses	9	Alabama; Cal State Long Beach; Colorado Boulder; Marshall; Oregon; Texas State; Utah; Utah Valley; William Paterson	DAYS OF WINE AND ROSES | Days Of Wine And Roses | Days of Wine and Roses	1A #14	Days of Wine and Roses
daywaves	1	William Paterson	Day Waves		
dearlybeloved	1	William Paterson	Dearly Beloved		
dedicatedtoyou	1	William Paterson	Dedicated to You		
deedido	1	Alabama	Deed I Do	5C #16	Deed I Do
desafinado	6	Cal State Long Beach; Marshall; Utah; Utah Valley; Western Michigan; William Paterson	DESIFINADO | Desafinado | Desifinado	1B #12	Desafinado
dexterity	3	Marshall; Oregon; Utah	DEXTERITY | Dexterity	2 #111	Dexterity
dig	3	Central Florida; Utah; William Paterson	DIG | Dig		
dindi	2	Western Michigan; William Paterson	Dindi	5B #15	Dindi
django	1	William Paterson	Django	2 #17	Django
dolphindance	5	Cal State Long Beach; San Diego State; Sonoma State; Utah; William Paterson	DOLPHIN DANCE | Dolphin Dance	1B #13	Dolphin Dance
donnalee	10	Cal State Long Beach; Central Florida; Colorado Boulder; Iowa; Marshall; Sonoma State; Utah; Utah Valley; Western Michigan; William Paterson	Donna Lee	1A #15	Donna Lee
donothingtilyouhearfromme	1	Utah	DO NOTHING TIL YOU HEAR FROM ME	5A #10	Do Nothin' Till You Hear from Me
dontblameme	2	Utah; William Paterson	DON'T BLAME ME | Don’t Blame Me	5A #11	Don't Blame Me
dontgetaroundmuchanymore	3	Cal State Long Beach; Oregon; Utah	DON'T GET AROUND MUCH ANYMORE | Don't Get Around Much Anymore	1B #14	Don't Get Around Much Anymore
doxy	8	Alabama; Cal State Long Beach; Iowa; Marshall; Oregon; Utah; Utah Valley; William Paterson	DOXY | Doxy	1A #16	Doxy
earlyautumn	1	William Paterson	Early Autumn	5C #18	Early Autumn
eastofthesun	2	Utah; Utah Valley	EAST OF THE SUN | East of the sun	5A #12	East of the Sun
easyliving	5	Alabama; Cal State Long Beach; Marshall; Utah; William Paterson	EASY LIVING | Easy Living	5A #13	Easy Living
easytolove	2	Utah; William Paterson	EASY TO LOVE | Easy to Love	5A #14	Easy to Love
ecaroh	1	Cal State Long Beach	Ecaroh		
eightyone	1	William Paterson	Eighty-One	2 #101	Eighty One
embraceableyou	4	Alabama; Cal State Long Beach; Utah; William Paterson	EMBRACEABLE YOU | Embraceable You	1B #15	Embraceable You
emily	4	Marshall; Oregon; Utah; William Paterson	EMILY | Emily	5A #15	Emily
epistrophy	1	Utah	EPISTROPHY	2 #18	Epistrophy
equinox	3	Oregon; Utah; William Paterson	EQUINOX | Equinox	1A #85	Equinox
esp	3	Cal State Long Beach; San Diego State; William Paterson	E. S. P. | E.S.P. | ESP	2 #19	E.S.P.
estate	2	Cal State Long Beach; Western Michigan	Estate	5B #17	Estate
eternaltriangle	3	Oregon; Utah; Western Michigan	ETERNAL TRIANGLE, THE | Eternal Triangle | The Eternal Triangle	2 #116	The Eternal Triangle
everythinghappenstome	2	Cal State Long Beach; William Paterson	Everything Happens To Me | Everything Happens to Me	5A #16	Everything Happens to Me
evidence	2	Western Michigan; William Paterson	Evidence	2 #20	Evidence
exactlylikeyou	1	Cal State Long Beach	Exactly Like You	4 #23	Exactly Like You
fall	1	William Paterson	Fall	3 #31	Fall
fallinginlovewithlove	2	Utah; William Paterson	FALLING IN LOVE WITH LOVE | Falling in Love With Love	5A #18	Falling in Love with Love
feefifofum	3	Cal State Long Beach; Utah; William Paterson	FEE-FI-FO-FUM | Fee Fi Fo Fum	2 #21	Fee-Fi-Fo-Fum
fineanddandy	1	Alabama	Fine and Dandy	5C #21	Fine and Dandy
fineromance	1	Alabama	Fine Romance		
firmroots	2	Utah; Western Michigan	FIRM ROOTS | Firm Roots	3 #32	Firm Roots
foggyday	5	Alabama; Cal State Long Beach; Oregon; Utah; William Paterson	A FOGGY DAY | A Foggy Day | Foggy Day	1B #1	A Foggy Day
footprints	6	Cal State Long Beach; Oregon; Sonoma State; Utah; Utah Valley; William Paterson	FOOTPRINTS | Footprints	1A #86	Footprints
forestflower	1	William Paterson	Forest Flower		
four	9	Alabama; Cal State Long Beach; Central Florida; Marshall; Oregon; Utah; Utah Valley; Western Michigan; William Paterson	FOUR | Four	1A #17	Four
freddiethefreeloader	6	Cal State Long Beach; Marshall; Oregon; Sonoma State; Utah; William Paterson	FREDDIE FREELOADER | Freddie Freeloader | Freddie The Freeloader | Freddie the Freeloader	1A #76	Freddie Freeloader
freedomjazzdance	4	Central Florida; Oregon; Utah; William Paterson	FREEDOM JAZZ DANCE | Freedom Jazz Dance	1B #16	Freedom Jazz Dance
freighttrane	1	Utah	FREIGHT TRANE		
fromthismomenton	1	Utah	FROM THIS MOMENT ON	5C #25	From This Moment On
gentlerain	3	Alabama; San Diego State; William Paterson	Gentle Rain | The Gentle Rain	3 #77	The Gentle Rain
georgia	4	Alabama; Cal State Long Beach; Marshall; Oregon	Georgia | Georgia On My Mind	1B #17	Georgia on My Mind
ghostofachance	1	William Paterson	Ghost of a Chance	5A #21	Ghost of a Chance
giantsteps	10	Cal State Long Beach; Central Florida; Iowa; Marshall; San Diego State; Sonoma State; Texas State; Utah; Western Michigan; William Paterson	GIANT STEPS | Giant Steps	2 #24	Giant Steps
gingerbreadboy	2	Central Florida; William Paterson	Gingerbread Boy	2 #102	Gingerbread Boy
girlfromipanema	12	Alabama; Cal State Long Beach; Colorado Boulder; Iowa; Marshall; Oregon; Sonoma State; Texas State; Utah; Utah Valley; Western Michigan; William Paterson	GIRL FROM IPANEMA, THE | Girl From Impanema | Girl From Impanima | Girl From Ipanema | Girl from Ipanema | The Girl From lpanema | The Girl from Ipanema	1A #57	The Girl From Ipanema
gloriasstep	1	William Paterson	Gloria’s Step	3 #35	Gloria’s Step
godblessthechild	1	Utah	GOD BLESS THE CHILD	5A #22	God Bless the Child
gonewiththewind	1	William Paterson	Gone With the Wind	1B #18	Gone with the Wind
goodbait	3	Oregon; Utah; Utah Valley	GOOD BAIT | Good Bait | Good Bait (A section only)	2 #25	Good Bait
goodbyeporkpiehat	1	William Paterson	Goodbye Porkpie Hat	3 #36	Goodbye Pork Pie Hat
gregoryishere	2	San Diego State; William Paterson	Gregory Is Here | Gregory is Here	2 #26	Gregory Is Here
groovinhigh	7	Cal State Long Beach; Central Florida; Marshall; Oregon; Utah; Utah Valley; William Paterson	GROOVIN' HIGH | Groovin' High | Groovin’ High	1B #19	Groovin' High
halfnelson	4	Central Florida; Marshall; Utah; William Paterson	Half Nelson | Half-Nelson	2 #28	Half Nelson
haveyoumetmissjones	10	Alabama; Cal State Long Beach; Colorado Boulder; Marshall; Oregon; Sonoma State; Texas State; Utah; Utah Valley; William Paterson	HAVE YOU MET MISS JONES | Have You Met Miss Jones | Have You Met Miss Jones?	1A #18	Have You Met Miss Jones
helloyounglovers	1	William Paterson	Hello Young Lovers		
heresthatrainyday	4	Alabama; Cal State Long Beach; Utah; William Paterson	HERE'S THAT RAINY DAY | Here's That Rainy Day | Here’s That Rainy Day	1A #19	Here's That Rainy Day
hifly	1	William Paterson	Hi-Fly	2 #29	Hi-Fly
honeysucklerose	4	Alabama; Cal State Long Beach; Oregon; Utah Valley	Honeysuckle Rose	1B #20	Honeysuckle Rose
hothouse	4	Cal State Long Beach; Central Florida; Marshall; Utah	HOT HOUSE | Hot House	2 #30	Hot House
howdeepistheocean	5	Alabama; Oregon; Utah; Western Michigan; William Paterson	HOW DEEP IS THE OCEAN | How Deep Is the Ocean | How Deep is the Ocean	1B #21	How Deep Is the Ocean?
howhighthemoon	6	Alabama; Marshall; Oregon; Utah; Utah Valley; William Paterson	How High The Moon | How High the Moon	1A #20	How High the Moon
howinsensitive	7	Cal State Long Beach; Marshall; Oregon; Sonoma State; Utah; Western Michigan; William Paterson	HOW INSENSITIVE | How Insensitive	1B #22	How Insensitive
howmyheartsings	1	William Paterson	How My Heart Sings		
icantgetstarted	5	Alabama; Cal State Long Beach; Oregon; Utah; William Paterson	I CAN'T GET STARTED | I Can't Get Started | I Can’t Get Started	1B #23	I Can't Get Started
iconcentrateonyou	2	Utah; William Paterson	I CONCENTRATE ON YOU | I Concentrate On You	5B #22	I Concentrate on You
icouldwriteabook	3	Oregon; Utah; William Paterson	I COULD WRITE A BOOK | I Could Write A Book	5B #23	I Could Write a Book
icoverthewaterfront	1	Alabama	I Cover the Waterfront	5A #26	I Cover the Waterfront
ididntknowwhattimeitwas	1	William Paterson	I Didn’t Know What Time It Was	5A #27	I Didn't Know What Time It Was
ifallinlovetooeasily	1	Marshall	I Fall in Love Too Easily	5A #28	I Fall in Love Too Easily
ifishouldloseyou	2	Utah; Western Michigan	IF I SHOULD LOSE YOU | If I Should Lose You	5A #35	If I Should Lose You
ifiwereabell	2	Utah; William Paterson	IF I WERE A BELL | If I Were A Bell	2 #33	If I Were a Bell
ifyoucouldseemenow	1	William Paterson	If You Could See Me Now	5A #36	If You Could See Me Now
igotrhythm	5	Alabama; Marshall; Oregon; Utah; William Paterson	I GOT RHYTHM | I Got Rhythm | I've Got Rhythm	1A #90	I Got Rhythm
iheararhapsody	4	Cal State Long Beach; Iowa; Utah; William Paterson	I HEAR A RHAPSODY | I Hear A Rhapsody | I Hear a Rhapsody	1B #24	I Hear a Rhapsody
iletasonggooutofmyheart	1	William Paterson	I Let A Song Go Out of	5A #30	I Let a Song Go Out of My Heart
illbearound	1	William Paterson	I’ll Be Around	5C #35	I'll Be Around
illrememberapril	7	Alabama; Cal State Long Beach; Marshall; Oregon; Texas State; Utah; William Paterson	I Remember April | I'LL REMEMBER APRIL | I'll Remember April	1B #26	I'll Remember April
iloveyou	8	Alabama; Cal State Long Beach; Marshall; Oregon; Texas State; Utah; Utah Valley; William Paterson	I LOVE YOU | I Love You	1A #21	I Love You
imagination	1	William Paterson	Imagination	5B #31	Imagination
imeanyou	3	Marshall; San Diego State; Utah	I MEAN YOU | I Mean You	2 #31	I Mean You
imgettingsentimentaloveryou	2	San Diego State; Utah	I'M GETTING SENTIMENTAL OVER YOU | I'm Getting Sentimental Over You		
imoldfashioned	1	Cal State Long Beach	I'm Old Fashioned	5B #30	I'm Old Fashioned
impressions	8	Cal State Long Beach; Central Florida; Marshall; Oregon; Texas State; Utah; Utah Valley; William Paterson	IMPRESSIONS | Impressions	1A #22	Impressions
inamellowtone	7	Alabama; Cal State Long Beach; Iowa; Marshall; Oregon; Utah; William Paterson	IN A MELLOW TONE | In A Mellotone | In A Mellow Tone | In a Mellow Tone	4 #35	In a Mellotone
inasentimentalmood	9	Alabama; Cal State Long Beach; Colorado Boulder; Marshall; Oregon; San Diego State; Texas State; Utah; William Paterson	IN A SENTIMENTAL MOOD | In A Sentimental Mood | In a Sentimental Mood	1A #23	In a Sentimental Mood
inchworm	1	William Paterson	Inchworm		
indiana	4	Cal State Long Beach; Oregon; Utah; Utah Valley	Indiana	4 #37	Indiana
infanteyes	2	Cal State Long Beach; Iowa	Infant Eyes	2 #35	Infant Eyes
innerurge	3	Cal State Long Beach; Western Michigan; William Paterson	Inner Urge	2 #36	Inner Urge
interplay	2	Oregon; William Paterson	Interplay		
intheweesmallhoursofthemorning	1	Marshall	In The Wee Small Hours of the Morning	5B #32	In the Wee Small Hours of the Morning
intrepidfox	1	William Paterson	Intrepid Fox		
invitation	5	Cal State Long Beach; Oregon; Utah; Utah Valley; William Paterson	INVITATION | Invitation	1A #24	Invitation
inwalkedbud	2	Cal State Long Beach; Utah	In Walked Bud	2 #34	In Walked Bud
inyourownsweetway	3	San Diego State; Utah; William Paterson	IN YOUR OWN SWEET WAY | In Your Own Sweet Way	1B #27	In Your Own Sweet Way
irememberclifford	2	Marshall; William Paterson	I Remember Clifford	2 #32	I Remember Clifford
irememberyou	3	Marshall; Utah; William Paterson	I REMEMBER YOU | I Remember You	1B #25	I Remember You
iris	1	William Paterson	Iris		
isfahan	2	San Diego State; Sonoma State	Isfahan	2 #37	Isfahan
ishouldcare	5	Alabama; Cal State Long Beach; Marshall; Utah; William Paterson	I SHOULD CARE | I Should Care	5A #32	I Should Care
isntitromantic	1	William Paterson	Isn’t It Romantic	5B #33	Isn't It Romantic
isotope	1	William Paterson	Isotope	3 #101	Isotope
israel	2	Oregon; William Paterson	Israel	3 #122	Israel
itcouldhappentoyou	6	Cal State Long Beach; Marshall; Utah; Utah Valley; Western Michigan; William Paterson	IT COULD HAPPEN TO YOU | It Could Happen To You | It Could Happen to You	1A #25	It Could Happen to You
itdontmeanathing	3	Cal State Long Beach; Utah; William Paterson	IT DON'T MEAN A THING | It Don't Mean A Thing | It Don’t Mean A Thing	4 #38	It Don't Mean a Thing
ithadtobeyou	1	William Paterson	It Had to be You	5A #38	It Had to Be You
ithoughtaboutyou	1	Utah	I THOUGHT ABOUT YOU	5A #34	I Thought About You
itmightaswellbespring	2	Utah; William Paterson	IT MIGHT AS WELL BE SPRING | It Might As Well Be Spring	5A #39	It Might As Well Be Spring
itneverenteredmymind	1	Utah	IT NEVER ENTERED MY MIND	5A #40	It Never Entered My Mind
itsyouornoone	5	Cal State Long Beach; Oregon; Utah; Utah Valley; William Paterson	IT'S YOU OR NO ONE | It's You Or No One | It's You or No One | It’s You Or No One	1B #28	It's You or No One
ivegottheworldonastring	1	Utah	I'VE GOT THE WORLD ON A STRING	5B #37	I've Got the World on a String
jeannine	2	Iowa; Utah	JEANINE | Jeannine	3 #41	Jeannine
jitterbugwaltz	2	Oregon; William Paterson	Jitterbug Waltz	4 #42	Jitterbug Waltz
jodygrind	2	Oregon; William Paterson	Jody Grind, The | The Jody Grind		
jordu	4	Cal State Long Beach; Central Florida; Utah; William Paterson	JORDU | Jordu	2 #38	Jordu
joshua	3	Cal State Long Beach; Utah; William Paterson	JOSHUA | Joshua	3 #42	Joshua
joyspring	8	Cal State Long Beach; Central Florida; Iowa; Marshall; Texas State; Utah; Utah Valley; William Paterson	JOY SPRING | Joy Spring | Joyspring	1A #26	Joy Spring
juju	2	Oregon; Utah	JU-JU | JuJu	2 #39	Juju
jumpinwithsymphonysid	1	William Paterson	Jumpin’ With Symphony Sid		
justfriends	8	Alabama; Cal State Long Beach; Marshall; Sonoma State; Texas State; Utah; Utah Valley; William Paterson	JUST FRIENDS | Just Friends | Just Friends (F and G)	1A #27	Just Friends
justintime	1	Utah	JUST IN TIME	5B #39	Just in Time
justoneofthosethings	2	Cal State Long Beach; Utah	JUST ONE OF THOSE THINGS | Just One Of Those Things	5A #41	Just One of Those Things
killerjoe	7	Cal State Long Beach; Iowa; Oregon; Sonoma State; Utah; Utah Valley; William Paterson	KILLER JOE | Killer Joe	1B #29	Killer Joe
ladybegood	3	Cal State Long Beach; Utah; William Paterson	Lady Be Good | OH LADY BE GOOD	2 #52	Oh, Lady Be Good!
ladybird	11	Alabama; Cal State Long Beach; Colorado Boulder; Iowa; Marshall; Oregon; San Diego State; Sonoma State; Utah; Utah Valley; William Paterson	Lady Bird | Ladybird	2 #40	Lady Bird
lament	1	William Paterson	Lament	3 #45	Lament
lamentforbooker	1	Cal State Long Beach	Lament For Booker		
lampislow	1	San Diego State	The Lamp is Low		
laura	3	Alabama; Western Michigan; William Paterson	Laura	1B #30	Laura
lazybird	3	Cal State Long Beach; Oregon; William Paterson	Lazy Bird	2 #41	Lazy Bird
lenniespennies	1	San Diego State	Lennie's Pennies		
lesterleapsin	4	Cal State Long Beach; Oregon; Utah; William Paterson	LESTER LEAPS IN | Lester Leaps In	4 #49	Lester Leaps In
letsfallinlove	1	William Paterson	Let’s Fall in Love		
likesomeoneinlove	4	Alabama; Cal State Long Beach; Utah; William Paterson	LIKE SOMEONE IN LOVE | Like Someone In Love | Like Someone in Love	1A #28	Like Someone in Love
litha	1	William Paterson	Litha		
littlebspoem	1	William Paterson	Little B’s Poem	2 #42	Little B's Poem
littlegirlblue	1	William Paterson	Little Girl Blue	5B #40	Little Girl Blue
littlemelonae	1	Utah	LITTLE MELONAE		
littlesunflower	4	Alabama; Cal State Long Beach; Utah; Utah Valley	LITTLE SUNFLOWER | Little Sunflower	1A #29	Little Sunflower
littlewillieleaps	2	Central Florida; Marshall	Little Willie Leaps	3 #46	Little Willie Leaps
longagoandfaraway	1	Utah	LONG AGO AND FAR AWAY		
lotusblossom	1	Utah	LOTUS BLOSSOM	5B #41	Lotus Blossom
loveforsale	5	Alabama; Cal State Long Beach; Iowa; Utah; Western Michigan	LOVE FOR SALE | Love For Sale | Love for Sale	1B #31	Love for Sale
lover	2	Cal State Long Beach; Utah	LOVER | Lover	5B #43	Lover
lovercomebacktome	1	Cal State Long Beach	Lover Come Back To Me	5A #42	Lover Come Back to Me
loverman	5	Alabama; Oregon; Utah; Utah Valley; William Paterson	LOVER MAN | Lover Man	5A #43	Lover Man
lovewalkedin	1	William Paterson	Love Walked In	5C #44	Love Walked In
lullabyofbirdland	2	Alabama; Utah	LULLABYE OF BIRDLAND | Lullaby of Birdland	1B #33	Lullaby of Birdland
lushlife	2	Cal State Long Beach; William Paterson	Lush Life	5B #44	Lush Life
mahjong	1	San Diego State	Mahjong		
maidenvoyage	9	Cal State Long Beach; Marshall; Oregon; San Diego State; Sonoma State; Utah; Utah Valley; Western Michigan; William Paterson	MAIDEN VOYAGE | Maiden Voyage	1A #30	Maiden Voyage
makesomeonehappy	1	William Paterson	Make Someone Happy		
manilove	1	Alabama	The Man I Love	5A #71	The Man I Love
