calls	title_as_logged
2	Jelly Roll
2	Jordu
2	Joy Spring
1	Jumpin' With Symphony Sid
2	Jumpon' At The Woodside
8	Just Friends
5	Lady Bird
3	The Lady Is A Tramp
1	Laura
1	Lazy Bird
1	Let's Face the Music and Dance
2	Let's Fall In Love
2	Like Someone In Love
7	Little Sunflower
1	Locomotion
7	Love For Sale
6	Lover Man
19	Lucky Southern
12	Lullaby Of Birdland
3	Maiden Voyage
1	Manteca
1	Mean To Me
1	Melody For C
5	Mercy Mercy Mercy
10	Milestones
2	Misterioso
10	Misty
17	Moanin'
4	Mood Indigo
1	Moody's Mood For Love
3	Moondance
1	Moonglow
7	Moonlight In Vermont
22	Mr P.C.
1	My Buddy
5	My Favourite Things
1	My Foolish Heart
5	My Funny Valentine
6	My Little Suede Shoes
1	My One And Only Love
1	My Secret Love
6	My Shining Hour
4	Naima
12	Nardis
3	Nature Boy
2	The Nearness Of You
9	Nica's Dream
7	Night and Day
1	Night Dreamer
44	Night In Tunisia
4	No Moon At All
2	Now's The Time
1	Nutty
2	O Grande Amor
2	Off Minor
1	Oleo
4	On A Slow Boat To China
33	On Green Dolphin Street
20	On The Sunny Side Of The Street
1	One By One
1	One Foot In The Gutter
12	One For Daddy-O
3	One Note Samba
2	Orange Colored Sky
25	Ornithology
7	Our Love Is Here To Stay
2	Out Of Nowhere
2	Passport Blues
1	Pennies From Heaven
1	Pent Up House
1	Perdido
4	P.S. I Love You
1	Question And Answer
52	Recordame
1	Red Baron
1	Red Clay
6	Reflections
2	Rhythm A Ning
4	Round Midnight
1	Route 66
1	Ruby My Dear
2	Samba De Orfeu
8	Sandu
5	Satin Doll
1	Save Your Love For Me
12	Scrapple From The Apple
2	Skylark
1	Smile
11	So What
24	Softly As In A Morning Sunrise
18	Solar
2	Solid
12	Some Day My Prince Will Come
13	Song For My Father
1	Sophisticated Lady
2	Speak Low
5	Speak No Evil
29	St Thomas
1	Star Eyes
1	Stars Fell On Alabama
12	Stella By Starlight
6	Stolen Moments
1	Stompin' At The Savoy
1	Stormy Monday
1	Stormy Weather
7	Straight No Chaser
6	Strasbourg St Denis
17	Summertime
1	Sway
1	Sweet Georgia Brown
10	Take Five
21	Take The A Train
1	Taking A Chance On Love
1	Tangerine
6	Tempus Fugit
1	Tenderly
12	Tenor Madness
1	That Old Black Magic
17	There Is No Greater Love
31	There Will Never Be Another You
1	They Say It's Wonderful
24	This I Dig Of You
4	Tom Cat
2	Tune up
17	Twisted
2	Up Jumped Spring
4	Valse Hot
1	Walkin'
12	Watermelon Man
14	Wave
1	Weaver Of Dreams
41	Well You Needn't
1	West Coast Blues
3	What A Difference A Day Makes
6	What A Little Moonlight Can Do
1	What A Wonderful World
19	What Is This Thing Called Love
2	What's New
1	When I Fall In Love
1	When The Saints Go Marching In
2	Who Can I Turn To
1	Why Don't You Do Right
6	Witch Hunt
1	With A Song In My Heart
4	Woody'n You
13	Work Song
1	Yardbird Suite
6	Yesterdays
14	You Don't Know What Love Is
1	You Stepped Out Of A Dream
1	You've Changed
